dataset_name,problem_class,fold,k,method,sigma,epsilon,n,pos,neg,tp,tn,fp,fn,prec,rec,f1,acc
car,classification,2,5,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,29.0
car,classification,3,1,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,29.0
car,classification,2,1,edited,,,33.0,45.0,-12.0,23.0,0.0,0.0,0.0,1.0,0.5111111111111111,0.676470588235294,29.0
car,classification,3,1,condensed,,,33.0,45.0,-12.0,22.0,0.0,0.0,0.0,1.0,0.4888888888888889,0.6567164179104478,28.0
car,classification,1,5,edited,,,37.0,55.0,-18.0,24.0,0.0,0.0,0.0,1.0,0.43636363636363634,0.6075949367088608,27.0
car,classification,3,5,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,27.0
car,classification,2,7,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,27.0
car,classification,2,7,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,27.0
car,classification,4,7,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,26.0
car,classification,5,7,edited,,,39.0,59.0,-20.0,23.0,0.0,0.0,0.0,1.0,0.3898305084745763,0.5609756097560975,26.0
car,classification,5,7,edited,,,39.0,59.0,-20.0,23.0,0.0,0.0,0.0,1.0,0.3898305084745763,0.5609756097560975,26.0
car,classification,4,7,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,26.0
car,classification,2,1,condensed,,,33.0,45.0,-12.0,20.0,0.0,0.0,0.0,1.0,0.4444444444444444,0.6153846153846153,26.0
car,classification,4,1,edited,,,33.0,45.0,-12.0,23.0,0.0,0.0,0.0,1.0,0.5111111111111111,0.676470588235294,26.0
car,classification,1,7,edited,,,37.0,55.0,-18.0,25.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.625,26.0
car,classification,1,7,edited,,,37.0,55.0,-18.0,25.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.625,26.0
car,classification,3,7,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,26.0
car,classification,3,7,edited,,,33.0,45.0,-12.0,24.0,0.0,0.0,0.0,1.0,0.5333333333333333,0.6956521739130436,26.0
car,classification,5,7,condensed,,,39.0,59.0,-20.0,25.0,0.0,0.0,0.0,1.0,0.423728813559322,0.5952380952380952,25.0
car,classification,4,5,edited,,,33.0,45.0,-12.0,23.0,0.0,0.0,0.0,1.0,0.5111111111111111,0.676470588235294,25.0
car,classification,5,7,condensed,,,39.0,59.0,-20.0,25.0,0.0,0.0,0.0,1.0,0.423728813559322,0.5952380952380952,25.0
car,classification,1,1,edited,,,37.0,55.0,-18.0,22.0,0.0,0.0,0.0,1.0,0.4,0.5714285714285715,25.0
car,classification,5,1,condensed,,,39.0,59.0,-20.0,17.0,0.0,0.0,0.0,1.0,0.288135593220339,0.4473684210526315,24.0
car,classification,5,1,edited,,,39.0,59.0,-20.0,18.0,0.0,0.0,0.0,1.0,0.3050847457627119,0.4675324675324675,24.0
car,classification,5,5,edited,,,39.0,59.0,-20.0,19.0,0.0,0.0,0.0,1.0,0.3220338983050847,0.4871794871794871,23.0
car,classification,4,1,condensed,,,33.0,45.0,-12.0,16.0,0.0,0.0,0.0,1.0,0.35555555555555557,0.5245901639344263,22.0
car,classification,1,1,condensed,,,37.0,55.0,-18.0,16.0,0.0,0.0,0.0,1.0,0.2909090909090909,0.45070422535211263,21.0
car,classification,4,7,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,1,5,condensed,,,37.0,55.0,-18.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,5,5,condensed,,,39.0,59.0,-20.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,1,7,condensed,,,37.0,55.0,-18.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,4,7,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,3,7,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,4,5,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,1,7,condensed,,,37.0,55.0,-18.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,2,5,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,2,7,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,2,7,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,3,7,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
car,classification,3,5,condensed,,,33.0,45.0,-12.0,0.0,0.0,0.0,0.0,,0.0,,0.0
